date,avg_surface_temp
2018-01-21,22.0380
2018-01-28,23.1550
2018-02-04,NULL
2018-02-11,24.2600
2018-02-18,24.8107
2018-02-25,24.1960
2018-03-04,25.3960
2018-03-11,24.5885
2018-03-18,24.1547
2018-03-25,24.1768
2018-04-01,24.1040
2018-04-08,25.6080
2018-04-15,24.6956
2018-04-22,25.1374
2018-04-29,25.4476
2018-05-06,25.2033
2018-05-13,27.1598
2018-05-20,27.2674
2018-05-27,28.1534
2018-06-03,29.0290
2018-06-10,26.0330
2018-06-17,28.5503
2018-06-24,29.2428
2018-07-01,NULL
2018-07-08,NULL
2018-07-15,NULL
2018-07-22,NULL
2018-07-29,NULL
2018-08-05,NULL
2018-08-12,NULL
2018-08-19,NULL
2018-08-26,NULL
2018-09-02,29.4548
2018-09-09,29.1697
2018-09-16,29.7848
2018-09-23,29.7642
2018-09-30,29.2138
2018-10-07,29.2306
2018-10-14,28.3903
2018-10-21,28.9793
2018-10-28,28.0325
2018-11-04,28.4124
2018-11-11,27.1195
2018-11-18,25.4325
2018-11-25,20.1782
2018-12-02,25.4335
2018-12-09,24.7532
2018-12-16,21.8024
2018-12-23,23.5100
2018-12-30,23.4350
2019-01-06,24.3755
2019-01-13,23.7536
2019-01-20,19.7108
2019-01-27,19.2415
2019-02-03,24.2571
2019-02-10,23.1298
2019-02-17,23.8917
2019-02-24,24.6987
2019-03-03,24.4045
2019-03-10,23.9314
2019-03-17,23.0587
2019-03-24,24.0502
2019-03-31,22.9716
2019-04-07,24.4592
2019-04-14,24.7000
2019-04-21,24.9920
2019-04-28,25.4218
2019-05-05,26.6898
2019-05-12,26.7290
2019-05-19,26.9695
2019-05-26,27.4405
2019-06-02,28.8636
2019-06-09,28.5107
2019-06-16,27.7522
2019-06-23,28.0148
2019-06-30,29.7428
2019-07-07,30.1442
2019-07-14,28.6507
2019-07-21,30.2253
2019-07-28,29.9632
2019-08-04,30.2512
2019-08-11,30.1952
2019-08-18,28.9766
2019-08-25,29.9255
2019-09-01,29.1780
2019-09-08,29.9064
2019-09-15,29.1653
2019-09-22,29.4048
2019-09-29,28.9445
2019-10-06,28.9502
2019-10-13,28.8875
2019-10-20,29.3657
2019-10-27,25.6888
2019-11-03,25.7373
2019-11-10,23.4553
2019-11-17,24.3432
2019-11-24,26.1623
2019-12-01,26.1530
2019-12-08,24.4327
2019-12-15,18.3030
2019-12-22,24.8290
2019-12-29,24.4962
2020-01-05,24.0422
2020-01-12,23.8985
2020-01-19,21.9157
2020-01-26,23.3124
2020-02-02,23.3100
2020-02-09,22.6947
2020-02-16,24.3733
2020-02-23,20.1078
2020-03-01,23.6867
2020-03-08,23.9888
2020-03-15,24.7907
2020-03-22,24.9403
2020-03-29,25.7684
2020-04-05,26.1186
2020-04-12,24.9578
2020-04-19,25.4332
2020-04-26,26.4278
2020-05-03,26.7810
2020-05-10,26.5477
2020-05-17,27.3553
2020-05-24,26.1438
2020-05-31,23.4747
2020-06-07,27.5730
2020-06-14,27.6320
2020-06-21,27.7870
2020-06-28,29.4177
