wk_st,avg_chlorophyll
2017-12-31,0.1750
2018-01-07,-0.2017
2018-01-14,-0.1866
2018-01-21,-0.0072
2018-01-28,-0.2414
2018-02-04,-0.0982
2018-02-11,-0.5688
2018-02-18,-0.3622
2018-02-25,-0.2350
2018-03-04,0.1424
2018-03-11,-0.4185
2018-03-18,-0.2580
2018-03-25,-0.2010
2018-04-01,-0.3998
2018-04-08,0.2742
2018-04-15,-0.5504
2018-04-22,-0.2235
2018-04-29,0.0837
2018-05-06,-0.1328
2018-05-13,-0.1812
2018-05-20,-0.3608
2018-05-27,-0.0776
2018-06-03,-0.1473
2018-06-10,0.0965
2018-06-17,-0.0050
2018-06-24,-0.1886
2018-07-01,NULL
2018-07-08,NULL
2018-07-15,NULL
2018-07-22,NULL
2018-07-29,NULL
2018-08-05,NULL
2018-08-12,NULL
2018-08-19,NULL
2018-08-26,NULL
2018-09-02,-0.4566
2018-09-09,-0.3438
2018-09-16,-0.4015
2018-09-23,-0.5550
2018-09-30,-0.4967
2018-10-07,-0.2643
2018-10-14,-0.3110
2018-10-21,-0.7103
2018-10-28,-0.1008
2018-11-04,-0.3574
2018-11-11,0.0133
2018-11-18,-0.1530
2018-11-25,-0.0467
2018-12-02,-0.1322
2018-12-09,-0.2242
2018-12-16,-0.2667
2018-12-23,-0.0134
2018-12-30,-0.2624
2019-01-06,-0.0387
2019-01-13,-0.3278
2019-01-20,0.1082
2019-01-27,-0.0702
2019-02-03,-0.2225
2019-02-10,-0.2506
2019-02-17,-0.5290
2019-02-24,-0.3743
2019-03-03,0.1162
2019-03-10,-0.6795
2019-03-17,0.2430
2019-03-24,-0.1823
2019-03-31,-0.2432
2019-04-07,-0.2416
2019-04-14,0.2802
2019-04-21,0.1560
2019-04-28,-0.5520
2019-05-05,0.0948
2019-05-12,-0.0595
2019-05-19,-0.0430
2019-05-26,-0.3363
2019-06-02,-0.1193
2019-06-09,0.2072
2019-06-16,0.1570
2019-06-23,0.1850
2019-06-30,0.1032
2019-07-07,-0.0268
2019-07-14,0.1975
2019-07-21,0.0705
2019-07-28,-0.1883
2019-08-04,-0.1780
2019-08-11,-0.0547
2019-08-18,0.1098
2019-08-25,-0.1451
2019-09-01,0.0207
2019-09-08,-0.2330
2019-09-15,-0.3484
2019-09-22,-0.1712
2019-09-29,-0.4203
2019-10-06,-0.4684
2019-10-13,-0.5636
2019-10-20,-0.2448
2019-10-27,-0.0765
2019-11-03,-0.3247
2019-11-10,0.3460
2019-11-17,-0.2427
2019-11-24,-0.2440
2019-12-01,-0.0404
2019-12-08,-0.2042
2019-12-15,-0.1737
2019-12-22,-0.3048
2019-12-29,-0.3040
2020-01-05,0.0659
2020-01-12,-0.4952
2020-01-19,-0.0310
2020-01-26,-0.2650
2020-02-02,0.1810
2020-02-09,-0.3163
2020-02-16,-0.5370
2020-02-23,-0.1148
2020-03-01,-0.0703
2020-03-08,-0.2345
2020-03-15,-0.2662
2020-03-22,-0.2443
2020-03-29,-0.1502
2020-04-05,-0.0502
2020-04-12,0.0226
2020-04-19,-0.1594
2020-04-26,-0.0353
2020-05-03,-0.0373
2020-05-10,-0.3875
2020-05-17,0.0000
2020-05-24,-0.2254
2020-05-31,-0.4276
2020-06-07,-0.6795
2020-06-14,-0.1872
2020-06-21,-0.3328
2020-06-28,-0.6160
2020-07-05,0.0622
2020-07-12,-0.3989
2020-07-19,-0.1254
2020-07-26,-0.3242
2020-08-02,-0.3183
2020-08-09,-0.0914
2020-08-16,-0.2865
2020-08-23,-0.2700
2020-08-30,-0.2836
2020-09-06,-0.4365
2020-09-13,-0.6284
2020-09-20,-0.2912
2020-09-27,-0.1202
2020-10-04,-0.0842
2020-10-11,-0.1922
2020-10-18,-0.4986
2020-10-25,-0.6698
2020-11-01,-0.2678
2020-11-08,-0.2226
2020-11-15,-0.0818
2020-11-22,-0.5440
2020-11-29,-0.3567
2020-12-06,-0.0920
2020-12-13,-0.4052
2020-12-20,-0.0622
2020-12-27,-0.1030
2021-01-03,-0.1050
2021-01-10,0.1390
2021-01-17,-0.2373
2021-01-24,-0.0760
2021-01-31,-0.1595
2021-02-07,-0.3137
2021-02-14,0.1265
2021-02-21,-0.1983
2021-02-28,-0.2390
2021-03-07,-0.3759
2021-03-14,-0.6832
2021-03-21,-0.5067
2021-03-28,0.1172
2021-04-04,-0.0110
2021-04-11,-0.6102
2021-04-18,0.3840
2021-04-25,-0.5464
2021-05-02,-0.2645
2021-05-09,-0.1817
2021-05-16,-0.6976
2021-05-23,-0.3074
2021-05-30,-0.3095
2021-06-06,-0.2370
2021-06-13,-0.2418
2021-06-20,-0.1923
2021-06-27,-0.4962
2021-07-04,-0.3310
2021-07-11,-0.3612
2021-07-18,0.0718
2021-07-25,-0.3240
2021-08-01,-0.2300
2021-08-08,-0.3041
2021-08-15,-0.0333
2021-08-22,-0.1873
2021-08-29,0.2086
2021-09-05,-0.0948
2021-09-12,-0.3558
2021-09-19,-0.0420
2021-09-26,-0.0787
2021-10-03,-0.2110
2021-10-10,-0.3196
2021-10-17,-0.3495
2021-10-24,-0.0326
2021-10-31,-0.3045
2021-11-07,-0.2624
2021-11-14,-0.2574
2021-11-21,-0.3110
2021-11-28,-0.2644
2021-12-05,-0.5339
2021-12-12,-0.3612
2021-12-19,-0.0527
2021-12-26,-0.3380
2022-01-02,-0.3947
2022-01-09,-0.1340
2022-01-16,-0.1180
2022-01-23,-0.1742
2022-01-30,-0.0560
2022-02-06,-0.1198
2022-02-13,-0.3447
2022-02-20,-0.4520
2022-02-27,-0.1804
2022-03-06,-0.5692
2022-03-13,-0.1918
2022-03-20,-0.1060
2022-03-27,-0.2224
2022-04-03,-0.1582
2022-04-10,-0.3858
2022-04-17,-0.4505
2022-04-24,-0.5120
2022-05-01,-0.3257
2022-05-08,-0.4593
2022-05-15,-0.2622
2022-05-22,-0.6140
2022-05-29,-0.3817
2022-06-05,-0.2297
2022-06-12,-0.3212
2022-06-19,-0.2762
2022-06-26,-0.5531
2022-07-03,-0.3654
2022-07-10,-0.3283
2022-07-17,-0.2222
